experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8312	20220512 065758	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.101786395952236	0.112609258927475	372	1016	94	0.0589717416421495	9434	14566000	54
HT8312	20220512 065848	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.194096978604291	0.427681592786498	50	5014	63	0.0657022329806601	10010	13630000	55
HT8312	20220512 065955	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144765652346825	0.554259937580652	711	7180	89	0.057935680587335	10904	14416000	56
HT8312	20220512 070045	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.123560282147592	0.37796487140283	539	3885	58	0.0486750270471304	12728	14032000	57
HT8312	20220512 070137	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.247447407535342	0.319760480330302	122	2048	95	0.0490247556538861	9630	12330000	58
HT8312	20220512 070405	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.112762993759643	0.727070892823022	121	3694	234	0.038226375727132	11742	13818000	59
HT8312	20220512 070538	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.151031336084586	0.803841766718193	964	1741	18	0.0675762462832742	10684	13556000	60
HT8312	20220512 070744	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0514765718527511	0.914142998647527	37	3074	154	0.0536857198975345	11808	14112000	61
HT8312	20220512 070831	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.221543555876734	0.402970562975947	816	5462	57	0.0779513130486918	9040	13640000	62
HT8312	20220512 071040	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0709221495549567	0.707065885409084	246	2406	114	0.0641065208543269	10456	14504000	63
HT8312	20220512 071127	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.274391369260224	0.398507780198264	404	3540	41	0.0699879534819089	10256	12664000	64
HT8312	20220512 071402	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0864941958663147	0.639422746171732	127	4637	271	0.0587118089638876	10038	13962000	65
HT8312	20220512 071436	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0765623064669408	0.154521770766121	468	7024	181	0.0770476130806424	8906	14614000	66
HT8312	20220512 071504	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.22020720995998	0.216171464156941	640	5782	43	0.0931038789355025	8734	14066000	67
HT8312	20220512 071559	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.151169621685771	0.355708580444171	129	5043	102	0.0588856499679868	10424	15376000	68
HT8312	20220512 071653	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.239520637113005	0.445122697189893	866	6976	62	0.0616435313561669	11174	14026000	69
HT8312	20220512 071746	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.165074253602652	0.376586052501737	451	3071	71	0.0513219910319446	11918	12682000	70
HT8312	20220512 071852	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.130286693108939	0.563124464816041	375	3860	57	0.0482180594053631	13084	13556000	71
HT8312	20220512 071918	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.150164005432688	0.164488068650709	726	4806	56	0.068771166427024	9946	15254000	72
HT8312	20220512 072124	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.041651106766006	0.513292195390165	994	4816	329	0.0480143495149926	12302	14098000	73
HT8312	20220512 072315	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.121193122127065	0.995964059002022	850	1250	32	0.0552939724763239	11922	14598000	74
HT8312	20220512 072529	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0435413599021453	0.544028218840365	635	728	121	0.0465600063573898	11922	13638000	75
HT8312	20220512 072625	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.16346033193008	0.497974649444339	819	7007	63	0.0808363096831286	8916	14244000	76
HT8312	20220512 072739	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.274085892840987	0.396578101772489	381	853	70	0.0208246140567953	9496	11984000	77
HT8312	20220512 072824	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.151750414768404	0.342759262069651	119	4085	65	0.0679991936305088	11040	13800000	78
HT8312	20220512 072908	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.149691450314728	0.358424449344468	158	4993	48	0.067400241505217	10494	13386000	79
HT8312	20220512 073005	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.118682450470524	0.421873312736605	859	3775	77	0.0656239460446157	10384	14816000	80
HT8312	20220512 073059	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.279151085374113	0.532507430415251	759	7922	54	0.0644185714188867	11246	14194000	81
HT8312	20220512 073203	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.191353421453889	0.482023982235603	168	167	50	0.0293881297985698	11344	12776000	82
HT8312	20220512 073321	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.291948798098573	0.856334283117973	517	3765	30	0.0631268628524235	11602	12998000	83
HT8312	20220512 073405	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.203214428332141	0.130008793261764	833	382	95	0.00763192236508106	9772	13028000	84
HT8312	20220512 073439	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.219357670303378	0.202459480938455	590	1013	23	0.0672983757832762	9950	12850000	85
HT8312	20220512 073655	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0548980646671448	0.948382064583665	261	2473	119	0.0520384581419281	11940	14580000	86
